,date,rates
AED,2022-06-01,3.912754
AFN,2022-06-01,95.338301
ALL,2022-06-01,120.425986
AMD,2022-06-01,474.716208
ANG,2022-06-01,1.919521
AOA,2022-06-01,451.796275
ARS,2022-06-01,128.140362
AUD,2022-06-01,1.485028
AWG,2022-06-01,1.917976
AZN,2022-06-01,1.810665
BAM,2022-06-01,1.9435989999999999
BBD,2022-06-01,2.150468
BDT,2022-06-01,94.870497
BGN,2022-06-01,1.957176
BHD,2022-06-01,0.401584
BIF,2022-06-01,2159.254853
BMD,2022-06-01,1.065247
BND,2022-06-01,1.461602
BOB,2022-06-01,7.332955
BRL,2022-06-01,5.131325
BSD,2022-06-01,1.065098
BTC,2022-06-01,3.5753211000000005e-05
BTN,2022-06-01,82.570499
BWP,2022-06-01,12.778289000000001
BYN,2022-06-01,3.597362
BYR,2022-06-01,20878.833311
BZD,2022-06-01,2.14689
CAD,2022-06-01,1.349327
CDF,2022-06-01,2135.818945
CHF,2022-06-01,1.026155
CLF,2022-06-01,0.031796
CLP,2022-06-01,877.347715
CNY,2022-06-01,7.122448
COP,2022-06-01,4112.032958
CRC,2022-06-01,727.213776
CUC,2022-06-01,1.065247
CUP,2022-06-01,28.229035
CVE,2022-06-01,110.839317
CZK,2022-06-01,24.736124
DJF,2022-06-01,189.31569
DKK,2022-06-01,7.440119
DOP,2022-06-01,58.74839
DZD,2022-06-01,154.569564
EGP,2022-06-01,19.846925
ERN,2022-06-01,15.9787
ETB,2022-06-01,54.945269
EUR,2022-06-01,1.0
FJD,2022-06-01,2.290924
FKP,2022-06-01,0.8717239999999999
GBP,2022-06-01,0.8533900000000001
GEL,2022-06-01,3.201119
GGP,2022-06-01,0.8717239999999999
GHS,2022-06-01,8.306401
GIP,2022-06-01,0.8717239999999999
GMD,2022-06-01,57.682843
GNF,2022-06-01,9419.444912
GTQ,2022-06-01,8.184993
GYD,2022-06-01,222.827785
HKD,2022-06-01,8.359709
HNL,2022-06-01,26.152016
HRK,2022-06-01,7.534809
HTG,2022-06-01,119.287346
HUF,2022-06-01,396.666953
IDR,2022-06-01,15505.19685
ILS,2022-06-01,3.560651
IMP,2022-06-01,0.8717239999999999
INR,2022-06-01,82.646464
IQD,2022-06-01,1555.792656
IRR,2022-06-01,45166.455494
ISK,2022-06-01,136.926771
JEP,2022-06-01,0.8717239999999999
JMD,2022-06-01,163.870791
JOD,2022-06-01,0.7565419999999999
JPY,2022-06-01,138.61524
KES,2022-06-01,124.474291
KGS,2022-06-01,84.737918
KHR,2022-06-01,4327.56621
KMF,2022-06-01,492.19716
KPW,2022-06-01,958.722175
KRW,2022-06-01,1328.678477
KWD,2022-06-01,0.32623199999999997
KYD,2022-06-01,0.887614
KZT,2022-06-01,459.309648
LAK,2022-06-01,14535.289632
LBP,2022-06-01,1614.994842
LKR,2022-06-01,382.890242
LRD,2022-06-01,161.917805
LSL,2022-06-01,16.575686
LTL,2022-06-01,3.145396
LVL,2022-06-01,0.644357
LYD,2022-06-01,5.075884
MAD,2022-06-01,10.521972
MDL,2022-06-01,20.24689
MGA,2022-06-01,4253.529407
MKD,2022-06-01,61.6122
MMK,2022-06-01,1971.963692
MNT,2022-06-01,3276.454378
MOP,2022-06-01,8.607076
MRO,2022-06-01,380.292852
MUR,2022-06-01,46.228116
MVR,2022-06-01,16.452784
MWK,2022-06-01,1084.953419
MXN,2022-06-01,21.002775
MYR,2022-06-01,4.669004
MZN,2022-06-01,67.994965
NAD,2022-06-01,16.575613
NGN,2022-06-01,442.237214
NIO,2022-06-01,38.162471
NOK,2022-06-01,10.102481
NPR,2022-06-01,132.112639
NZD,2022-06-01,1.6439409999999999
OMR,2022-06-01,0.41013299999999997
PAB,2022-06-01,1.065098
PEN,2022-06-01,3.971254
PGK,2022-06-01,3.749413
PHP,2022-06-01,56.11187
PKR,2022-06-01,210.652537
PLN,2022-06-01,4.587698
PYG,2022-06-01,7334.463593
QAR,2022-06-01,3.878558
RON,2022-06-01,4.94019
RSD,2022-06-01,117.406174
RUB,2022-06-01,67.646454
RWF,2022-06-01,1094.008256
SAR,2022-06-01,3.994566
SBD,2022-06-01,8.646625
SCR,2022-06-01,14.465411
SDG,2022-06-01,484.687345
SEK,2022-06-01,10.48975
SGD,2022-06-01,1.464823
SHP,2022-06-01,1.467274
SLL,2022-06-01,13912.120154
SOS,2022-06-01,621.039068
SRD,2022-06-01,22.499604
STD,2022-06-01,22048.453844
SVC,2022-06-01,9.319355
SYP,2022-06-01,2676.379365
SZL,2022-06-01,16.574999
THB,2022-06-01,36.623713
TJS,2022-06-01,12.115062
TMT,2022-06-01,3.728363
TND,2022-06-01,3.234627
TOP,2022-06-01,2.454275
TRY,2022-06-01,17.521921
TTD,2022-06-01,7.222947
TWD,2022-06-01,31.044801
TZS,2022-06-01,2480.959802
UAH,2022-06-01,31.444625
UGX,2022-06-01,4047.23151
USD,2022-06-01,1.065247
UYU,2022-06-01,42.492808
UZS,2022-06-01,11707.060016
VEF,2022-06-01,227781916787.4661
VND,2022-06-01,24714.786309
VUV,2022-06-01,121.721109
WST,2022-06-01,2.747636
XAF,2022-06-01,651.854995
XAG,2022-06-01,0.048881999999999995
XAU,2022-06-01,0.0005769999999999999
XCD,2022-06-01,2.878882
XDR,2022-06-01,0.7890159999999999
XOF,2022-06-01,651.396973
XPF,2022-06-01,119.759664
YER,2022-06-01,266.578172
ZAR,2022-06-01,16.626684
ZMK,2022-06-01,9588.496664
ZMW,2022-06-01,18.398919
ZWL,2022-06-01,343.00897
AED,2022-05-01,3.869741
AFN,2022-05-01,90.606329
ALL,2022-05-01,120.896671
AMD,2022-05-01,477.538301
ANG,2022-05-01,1.898725
AOA,2022-05-01,427.343493
ARS,2022-05-01,121.570043
AUD,2022-05-01,1.491234
AWG,2022-05-01,1.89694
AZN,2022-05-01,1.793321
BAM,2022-05-01,1.950411
BBD,2022-05-01,2.12719
BDT,2022-05-01,91.305715
BGN,2022-05-01,1.951253
BHD,2022-05-01,0.39707699999999996
BIF,2022-05-01,2125.036104
BMD,2022-05-01,1.053563
BND,2022-05-01,1.453561
BOB,2022-05-01,7.253646
BRL,2022-05-01,5.239156
BSD,2022-05-01,1.053573
BTC,2022-05-01,2.7400175e-05
BTN,2022-05-01,80.497545
BWP,2022-05-01,12.754961
BYN,2022-05-01,3.5468450000000002
BYR,2022-05-01,20649.830261
BZD,2022-05-01,2.1236
CAD,2022-05-01,1.354408
CDF,2022-05-01,2120.821652
CHF,2022-05-01,1.026418
CLF,2022-05-01,0.032551
CLP,2022-05-01,898.172948
CNY,2022-05-01,6.962471
COP,2022-05-01,4170.001437
CRC,2022-05-01,697.143049
CUC,2022-05-01,1.053563
CUP,2022-05-01,27.919413
CVE,2022-05-01,110.360726
CZK,2022-05-01,24.590784
DJF,2022-05-01,187.238932
DKK,2022-05-01,7.4384689999999996
DOP,2022-05-01,57.998661
DZD,2022-05-01,152.471941
EGP,2022-05-01,19.487331
ERN,2022-05-01,15.803444
ETB,2022-05-01,54.126782
EUR,2022-05-01,1.0
FJD,2022-05-01,2.264798
FKP,2022-05-01,0.809813
