,date,rates
AED,2022-04-26,3.910634
AED,2022-04-23,3.966719
AED,2022-04-22,3.966719
AED,2022-04-24,3.97073
AED,2022-04-25,3.935308
AED,2022-04-20,3.984998
AED,2022-04-21,3.979735
AFN,2022-04-26,92.097482
AFN,2022-04-24,94.0788
AFN,2022-04-22,93.418813
AFN,2022-04-21,94.926086
AFN,2022-04-23,93.980211
AFN,2022-04-25,93.745
AFN,2022-04-20,94.39068
ALL,2022-04-22,119.985247
ALL,2022-04-21,120.230266
ALL,2022-04-26,118.69658
ALL,2022-04-25,119.406199
ALL,2022-04-24,120.3471
ALL,2022-04-20,120.266545
ALL,2022-04-23,120.220983
AMD,2022-04-20,509.070002
AMD,2022-04-22,504.633137
AMD,2022-04-24,509.691218
AMD,2022-04-26,493.105611
AMD,2022-04-21,513.155461
AMD,2022-04-23,509.15709
AMD,2022-04-25,499.823666
ANG,2022-04-23,1.9515889999999998
ANG,2022-04-24,1.953636
ANG,2022-04-25,1.9309100000000001
ANG,2022-04-26,1.920798
ANG,2022-04-22,1.945169
ANG,2022-04-21,1.963514
ANG,2022-04-20,1.9561009999999999
AOA,2022-04-25,433.009525
AOA,2022-04-26,430.307656
AOA,2022-04-24,436.922777
AOA,2022-04-20,446.982069
AOA,2022-04-21,446.376726
AOA,2022-04-22,436.464998
AOA,2022-04-23,436.464998
ARS,2022-04-25,122.873268
ARS,2022-04-20,123.644204
ARS,2022-04-23,123.537473
ARS,2022-04-24,123.419852
ARS,2022-04-26,122.277982
ARS,2022-04-21,123.612622
ARS,2022-04-22,123.40742
AUD,2022-04-23,1.491831
AUD,2022-04-22,1.490566
AUD,2022-04-26,1.487133
AUD,2022-04-20,1.457289
AUD,2022-04-25,1.492567
AUD,2022-04-24,1.494254
AUD,2022-04-21,1.47197
AWG,2022-04-23,1.944426
AWG,2022-04-26,1.9164629999999998
AWG,2022-04-24,1.946465
AWG,2022-04-21,1.950268
AWG,2022-04-25,1.928496
AWG,2022-04-22,1.944426
AWG,2022-04-20,1.953455
AZN,2022-04-26,1.807411
AZN,2022-04-25,1.821901
AZN,2022-04-22,1.840179
AZN,2022-04-21,1.839375
AZN,2022-04-23,1.840179
AZN,2022-04-24,1.842755
AZN,2022-04-20,1.839572
BAM,2022-04-20,1.954932
BAM,2022-04-22,1.95164
BAM,2022-04-23,1.958126
BAM,2022-04-25,1.954018
BAM,2022-04-26,1.949333
BAM,2022-04-21,1.955346
BAM,2022-04-24,1.96018
BBD,2022-04-23,2.186364
BBD,2022-04-22,2.179172
BBD,2022-04-24,2.188658
BBD,2022-04-21,2.199756
BBD,2022-04-25,2.163294
BBD,2022-04-26,2.151928
BBD,2022-04-20,2.191452
BDT,2022-04-22,93.062916
BDT,2022-04-24,93.467143
BDT,2022-04-26,92.162246
BDT,2022-04-23,93.369194
BDT,2022-04-25,92.380749
BDT,2022-04-21,93.941768
BDT,2022-04-20,93.586589
BGN,2022-04-25,1.954679
BGN,2022-04-20,1.953116
BGN,2022-04-26,1.9511560000000001
BGN,2022-04-24,1.960351
BGN,2022-04-21,1.9539339999999998
BGN,2022-04-23,1.9582959999999998
BGN,2022-04-22,1.9555600000000002
BHD,2022-04-26,0.40141899999999997
BHD,2022-04-21,0.408472
BHD,2022-04-24,0.408607
BHD,2022-04-22,0.40737799999999996
BHD,2022-04-25,0.403968
BHD,2022-04-20,0.408987
BHD,2022-04-23,0.40817899999999996
BIF,2022-04-26,2142.179638
BIF,2022-04-24,2225.439179
BIF,2022-04-25,2155.629974
BIF,2022-04-20,2185.092068
BIF,2022-04-23,2223.107042
BIF,2022-04-21,2236.705881
BIF,2022-04-22,2174.991998
BMD,2022-04-26,1.064702
BMD,2022-04-22,1.079936
BMD,2022-04-21,1.083482
BMD,2022-04-24,1.081069
BMD,2022-04-25,1.071387
BMD,2022-04-20,1.084951
BMD,2022-04-23,1.079936
BND,2022-04-26,1.463722
BND,2022-04-21,1.483413
BND,2022-04-22,1.474269
BND,2022-04-24,1.480686
BND,2022-04-25,1.4737339999999999
BND,2022-04-23,1.4791349999999999
BND,2022-04-20,1.479993
BOB,2022-04-24,7.45244
BOB,2022-04-25,7.355081
BOB,2022-04-21,7.49049
BOB,2022-04-20,7.461833
BOB,2022-04-23,7.44463
BOB,2022-04-22,7.420141
BOB,2022-04-26,7.32718
BRL,2022-04-20,5.014973
BRL,2022-04-25,5.225905
BRL,2022-04-23,5.18253
BRL,2022-04-24,5.185563
BRL,2022-04-26,5.3078579999999995
BRL,2022-04-21,5.008181
BRL,2022-04-22,5.180107
BSD,2022-04-25,1.071407
BSD,2022-04-20,1.085381
BSD,2022-04-22,1.079308
BSD,2022-04-21,1.089531
BSD,2022-04-26,1.065748
BSD,2022-04-24,1.084006
BSD,2022-04-23,1.08287
BTC,2022-04-21,2.6729515e-05
BTC,2022-04-20,2.6211463e-05
BTC,2022-04-26,2.6991294e-05
BTC,2022-04-25,2.6482981000000002e-05
BTC,2022-04-24,2.7394086e-05
BTC,2022-04-22,2.7182696000000006e-05
BTC,2022-04-23,2.7378231000000003e-05
BTN,2022-04-26,81.636326
BTN,2022-04-23,82.677156
BTN,2022-04-25,82.059019
BTN,2022-04-22,82.40595
BTN,2022-04-20,82.979764
BTN,2022-04-21,82.958884
BTN,2022-04-24,82.763888
BWP,2022-04-25,12.861975
BWP,2022-04-21,12.825228
BWP,2022-04-23,12.876
BWP,2022-04-22,12.833644
BWP,2022-04-24,12.889507
BWP,2022-04-20,12.679539
BWP,2022-04-26,12.771336
BYN,2022-04-26,3.585698
BYN,2022-04-22,3.6291089999999997
BYN,2022-04-20,3.596547
BYN,2022-04-25,3.60266
BYN,2022-04-21,3.610107
BYN,2022-04-24,3.64499
BYN,2022-04-23,3.64117
BYR,2022-04-24,21188.959149
BYR,2022-04-22,21166.754298
BYR,2022-04-25,20999.178671
BYR,2022-04-23,21166.754298
BYR,2022-04-20,21265.046942
BYR,2022-04-26,20868.151543
BYR,2022-04-21,21236.248125
BZD,2022-04-22,2.175539
BZD,2022-04-20,2.187805
BZD,2022-04-24,2.18505
BZD,2022-04-21,2.196057
BZD,2022-04-26,2.14824
BZD,2022-04-25,2.159598
BZD,2022-04-23,2.18276
CAD,2022-04-24,1.375299
CAD,2022-04-26,1.363845
CAD,2022-04-21,1.364088
CAD,2022-04-23,1.3754119999999999
CAD,2022-04-25,1.364534
CAD,2022-04-20,1.354849
CAD,2022-04-22,1.373144
CDF,2022-04-20,2182.922209
CDF,2022-04-24,2175.111431
CDF,2022-04-22,2172.832516
CDF,2022-04-23,2172.832516
CDF,2022-04-25,2157.772535
CDF,2022-04-21,2182.132412
CDF,2022-04-26,2142.179441
CHF,2022-04-24,1.033285
CHF,2022-04-23,1.034029
CHF,2022-04-26,1.021793
CHF,2022-04-21,1.033371
CHF,2022-04-20,1.029835
