,date,rates
AED,2022-06-11,3.863315
AFN,2022-06-11,94.028625
ALL,2022-06-11,120.178242
AMD,2022-06-11,452.173386
ANG,2022-06-11,1.9091719999999999
AOA,2022-06-11,458.395507
ARS,2022-06-11,128.787416
AUD,2022-06-11,1.49147
AWG,2022-06-11,1.893738
AZN,2022-06-11,1.792209
BAM,2022-06-11,1.9558010000000001
BBD,2022-06-11,2.138869
BDT,2022-06-11,98.501259
BGN,2022-06-11,1.955752
BHD,2022-06-11,0.39639399999999997
BIF,2022-06-11,2178.558134
BMD,2022-06-11,1.051785
BND,2022-06-11,1.463179
BOB,2022-06-11,7.293493
BRL,2022-06-11,5.245654
BSD,2022-06-11,1.059285
BTC,2022-06-11,3.6832509e-05
BTN,2022-06-11,82.412295
BWP,2022-06-11,12.786113
BYN,2022-06-11,3.575848
BYR,2022-06-11,20614.978465
BZD,2022-06-11,2.135269
CAD,2022-06-11,1.3439969999999999
CDF,2022-06-11,2108.828535
CHF,2022-06-11,1.039018
CLF,2022-06-11,0.032195
CLP,2022-06-11,888.369256
CNY,2022-06-11,7.056322
COP,2022-06-11,4080.440315
CRC,2022-06-11,727.349361
CUC,2022-06-11,1.051785
CUP,2022-06-11,27.872292
CVE,2022-06-11,110.263387
CZK,2022-06-11,24.701204
DJF,2022-06-11,188.587242
DKK,2022-06-11,7.437643
DOP,2022-06-11,58.263148
DZD,2022-06-11,154.105421
EGP,2022-06-11,19.676712
ERN,2022-06-11,15.77677
ETB,2022-06-11,55.105494
EUR,2022-06-11,1.0
FJD,2022-06-11,2.298049
FKP,2022-06-11,0.8607079999999999
GBP,2022-06-11,0.853964
GEL,2022-06-11,3.065994
GGP,2022-06-11,0.8607079999999999
GHS,2022-06-11,8.395177
GIP,2022-06-11,0.8607079999999999
GMD,2022-06-11,56.849368
GNF,2022-06-11,9377.662833
GTQ,2022-06-11,8.18328
GYD,2022-06-11,221.746757
HKD,2022-06-11,8.256303
HNL,2022-06-11,26.027619
HRK,2022-06-11,7.522157
HTG,2022-06-11,121.293226
HUF,2022-06-11,398.011117
IDR,2022-06-11,15371.779567
ILS,2022-06-11,3.57001
IMP,2022-06-11,0.8607079999999999
